Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
481,0,8,699,21800003,481-21800003,21800003-23-8,SUB: Williams FOR Zeller,Cody Zeller,CHA,00:23,4,,113 - 112,-1,No,0,0.016,23,No,0,0,0,,Cody Zeller,,,0,0,,CHA,,,,,,,,,
482,6,2,701,21800003,482-21800003,21800003-3-2,MISS Walker 3' Driving Layup,Kemba Walker,CHA,00:03,4,,113 - 112,-1,No,0,0.0021,3,No,0,0,0,,Kemba Walker,Layup,,0,0,,CHA,3,,,,,,,,
483,0,4,702,21800003,483-21800003,21800003-3-4,Williams REBOUND (Off:1 Def:8),Marvin Williams,CHA,00:03,4,,113 - 112,-1,No,0,0.0021,3,No,0,0,0,,Marvin Williams,,,0,0,,CHA,,,,,,,,,
484,1,2,703,21800003,484-21800003,21800003-0-2,MISS Batum 26' 3PT Jump Shot,Nicolas Batum,CHA,00:00,4,,113 - 112,-1,No,0,0,0,No,0,0,0,,Nicolas Batum,3 PT Shot,,0,0,,CHA,26,,,,,,,,
485,0,4,704,21800003,485-21800003,21800003-0-4,HORNETS Rebound,,,00:00,4,,113 - 112,-1,No,0,0,0,No,0,0,0,,,,,0,0,,,,,,,,,,,
486,0,13,705,21800003,486-21800003,21800003-0-13,,,,00:00,4,,113 - 112,-1,No,0,0,0,No,0,0,0,,,,,0,0,,,,,,,,,,,
434,0,4,626,21800004,434-21800004,21800004-179-4,Griffin REBOUND (Off:2 Def:4),Blake Griffin,DET,02:59,4,,94 - 95,1,No,1,0.1243,179,No,0,0,0,,Blake Griffin,,,0,0,,DET,,,,,,,,,
435,6,1,627,21800004,435-21800004,21800004-178-1,Griffin 1' Driving Layup (26 PTS),Blake Griffin,DET,02:58,4,,94 - 97,3,No,1,0.1236,178,No,0,0,0,,Blake Griffin,Layup,,2,2,,DET,1,,,,,,,,
436,1,5,628,21800004,436-21800004,21800004-159-5,Jackson STEAL (1 STL),Jarrett Allen,BKN,02:39,4,Allen Bad Pass Turnover (P2.T18),94 - 97,3,No,1,0.1104,159,No,0,0,0,,Jarrett Allen,,,0,0,,BKN,,,,,,,,,
437,1,2,630,21800004,437-21800004,21800004-137-2,MISS Jackson 32' 3PT Jump Shot,Reggie Jackson,DET,02:17,4,,94 - 97,3,No,1,0.0951,137,No,0,0,0,,Reggie Jackson,3 PT Shot,,0,0,,DET,32,,,,,,,,
